Designator,Footprint,Quantity,Value,LCSC Part #
C1,CP_Radial_D8.0mm_P5.00mm,1,C_Polarized,
HX711,JST_EH_B4B-EH-A_1x04_P2.50mm_Vertical,1,~,
J1,JST_EH_B3B-EH-A_1x03_P2.50mm_Vertical,1,Speed_Pot,
J2,JST_EH_B3B-EH-A_1x03_P2.50mm_Vertical,1,Optical_Gate,
"J3, J4",JST_EH_B6B-EH-A_1x06_P2.50mm_Vertical,2,Conn_01x06_Pin,
J5,JST_EH_B3B-EH-A_1x03_P2.50mm_Vertical,1,Voltage Selector,
J6,JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical,1,Conn_01x02_Pin,
J7,JST_EH_B6B-EH-A_1x06_P2.50mm_Vertical,1,SD_card EXT,
J8,JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical,1,Reset SW,
R_SERIAL1,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,1k,
"SPINDLE_PORT1, TRAVERSE_PORT1",JST_EH_B4B-EH-A_1x04_P2.50mm_Vertical,2,Conn_01x04_Pin,
"U1, U3",TC2209,2,~,
U2,S3 DEvkit DualW,1,~,
U4,MS1584_fullboard,1,~,
U5,JST_EH_B14B-EH-A_1x14_P2.50mm_Vertical,1,~,
